Supplemental Table 4 - Gene promoter classification among colorectal samples,,,,,,,
,,,,,,,
Probe ID,Gene Symbol,Gene ID,Normal adjacent  mean beta-value,Tumor mean beta-value,Normal vs. tumor FDR-adjusted P value,ES cell histone marks,Gene category
cg14817542,HIF1AN,55662,0.02,0.02,1,K4,Constitutively Low
cg14755009,TIRAP,114609,0.02,0.02,1,K4,Constitutively Low
cg14585160,ARHGAP1,392,0.03,0.03,1,K4,Constitutively Low
cg14527802,TNFAIP3,7128,0.06,0.05,1,K4+K27,Constitutively Low
cg14501253,C8orf79,57604,0.07,0.07,1,NA,Constitutively Low
cg14492347,ZNF592,9640,0.04,0.04,1,K4,Constitutively Low
cg14296147,CSRP2BP,57325,0.01,0.01,1,K4,Constitutively Low
cg14104257,SLC36A1,206358,0.01,0.01,1,K4,Constitutively Low
cg14056942,TSC22D2,9819,0.04,0.04,1,K4,Constitutively Low
cg14019317,PROX1,5629,0.08,0.08,1,NA,Constitutively Low
cg13788301,TOM1,10043,0.02,0.01,1,K4,Constitutively Low
cg13671831,NF2,4771,0.03,0.04,1,K4,Constitutively Low
cg13552650,MORC3,23515,0.09,0.09,1,K4,Constitutively Low
cg13516796,ALG1,56052,0.03,0.03,1,K4,Constitutively Low
cg13501999,CACNB1,782,0.04,0.04,1,K4,Constitutively Low
cg13382694,ZNF652,22834,0.10,0.10,1,K4,Constitutively Low
cg13237906,SLC26A2,1836,0.02,0.02,1,K4,Constitutively Low
cg12785087,NAT11,79829,0.01,0.01,1,NA,Constitutively Low
cg12603043,EHD2,30846,0.02,0.02,1,K4,Constitutively Low
cg12581035,PHC1,1911,0.02,0.02,1,K4,Constitutively Low
cg12377712,ATP6V1G1,9550,0.02,0.02,1,K4,Constitutively Low
cg12333095,ANKRD13A,88455,0.02,0.02,1,K4+K27,Constitutively Low
cg12243255,CSRNP1,64651,0.01,0.01,1,K4,Constitutively Low
cg12032116,DMXL1,1657,0.06,0.06,1,NA,Constitutively Low
cg12011267,PPP1R13B,23368,0.08,0.07,1,NA,Constitutively Low
cg11933375,SLC38A7,55238,0.08,0.08,1,K4,Constitutively Low
cg11841758,MAGOH,4116,0.10,0.10,1,K4,Constitutively Low
cg11828669,ZBTB25,7597,0.04,0.04,1,K4,Constitutively Low
cg11639397,VASP,7408,0.01,0.01,1,K4,Constitutively Low
cg11443787,MLLT10,8028,0.07,0.06,1,NA,Constitutively Low
cg11423990,TXN2,25828,0.04,0.04,1,K4,Constitutively Low
cg11310692,PEX7,5191,0.02,0.02,1,K4,Constitutively Low
cg11197066,PGAP1,80055,0.02,0.02,1,K4,Constitutively Low
cg11010122,DNAJB14,79982,0.02,0.02,1,NA,Constitutively Low
cg10960946,UBE2I,7329,0.02,0.02,1,K4,Constitutively Low
cg10957680,IFI6,2537,0.04,0.04,1,K4,Constitutively Low
cg10944783,PSMC3IP,29893,0.03,0.03,1,K4,Constitutively Low
cg10624583,TENC1,23371,0.02,0.02,1,NA,Constitutively Low
cg10239941,MPV17,4358,0.02,0.02,1,K4,Constitutively Low
cg09558502,OVGP1,5016,0.12,0.13,1,None,Constitutively Low
cg09296044,CCNDBP1,23582,0.03,0.03,1,K4,Constitutively Low
cg09197965,TUBA4A,7277,0.03,0.03,1,NA,Constitutively Low
cg08996502,SCRIB,23513,0.11,0.11,1,K4,Constitutively Low
cg08810065,G2E3,55632,0.05,0.05,1,K4,Constitutively Low
cg07965839,ZFAND6,54469,0.05,0.05,1,K4,Constitutively Low
cg07955356,DNASE2,1777,0.06,0.05,1,K4,Constitutively Low
cg07854244,IP6K2,51447,0.03,0.03,1,K4,Constitutively Low
cg07596494,KIF3C,3797,0.03,0.04,1,K4,Constitutively Low
cg07399355,MUC1,4582,0.02,0.02,1,K4,Constitutively Low
cg07355551,ZNF343,79175,0.04,0.04,1,K4+K27,Constitutively Low
cg06887414,RPN1,6184,0.04,0.04,1,K4,Constitutively Low
cg06834261,WDR12,55759,0.04,0.04,1,K4,Constitutively Low
cg06730468,TMEM143,55260,0.10,0.10,1,K4,Constitutively Low
cg06688396,TMEM55A,55529,0.12,0.13,1,K4,Constitutively Low
cg06654447,TMEM141,85014,0.02,0.02,1,K4,Constitutively Low
cg06541857,CEP63,80254,0.08,0.07,1,K4,Constitutively Low
cg06077733,UBE2D1,7321,0.02,0.02,1,K4,Constitutively Low
cg05990214,SPHK2,56848,0.05,0.05,1,K4,Constitutively Low
cg05937182,ST7,7982,0.02,0.02,1,K4,Constitutively Low
cg05715287,CDC40,51362,0.07,0.07,1,K4,Constitutively Low
cg05566965,BID,637,0.04,0.04,1,K4,Constitutively Low
cg05382730,EMG1,10436,0.03,0.03,1,K4,Constitutively Low
cg04960951,SUV420H2,84787,0.03,0.03,1,K4,Constitutively Low
cg04619859,C7orf49,78996,0.02,0.02,1,K4,Constitutively Low
cg04498032,CLK2,1196,0.06,0.06,1,K4,Constitutively Low
cg04496615,PPP3R1,5534,0.01,0.01,1,K4,Constitutively Low
cg04454391,NDUFAB1,4706,0.02,0.02,1,K4,Constitutively Low
cg04317940,PMS2,5395,0.03,0.03,1,NA,Constitutively Low
cg04317366,PRPF8,10594,0.04,0.04,1,K4,Constitutively Low
cg04141379,SPATA6,54558,0.01,0.01,1,K4,Constitutively Low
cg04082985,LASS2,29956,0.03,0.03,1,K4,Constitutively Low
cg03985657,FAM189B,10712,0.02,0.02,1,K4,Constitutively Low
cg03905094,DEPDC1B,55789,0.04,0.04,1,K4,Constitutively Low
cg03812067,SERINC3,10955,0.02,0.02,1,K4,Constitutively Low
cg03737135,HSPA14,51182,0.06,0.06,1,K4,Constitutively Low
cg03640568,DDX17,10521,0.02,0.01,1,K4,Constitutively Low
cg03620376,CDC42EP5,148170,0.07,0.09,1,K4,Constitutively Low
cg03586029,MFSD8,256471,0.07,0.08,1,K4,Constitutively Low
cg03389111,KRR1,11103,0.07,0.07,1,K4,Constitutively Low
cg03322129,UBE2J2,118424,0.02,0.02,1,K4,Constitutively Low
cg03139057,DLL3,10683,0.02,0.02,1,K4,Constitutively Low
cg02668984,PDK2,5164,0.03,0.03,1,NA,Constitutively Low
cg02644301,TECR,9524,0.03,0.03,1,K4,Constitutively Low
cg02569086,ITPR2,3709,0.02,0.02,1,K4,Constitutively Low
cg02277509,TIMM9,26520,0.03,0.02,1,K4,Constitutively Low
cg01931893,TK2,7084,0.07,0.08,1,K4,Constitutively Low
cg01755369,ILF3,3609,0.04,0.04,1,K4,Constitutively Low
cg01626197,GMPPB,29925,0.04,0.04,1,K4,Constitutively Low
cg01369981,CAMKK2,10645,0.02,0.04,1,K4,Constitutively Low
cg01284619,HCN2,610,0.11,0.11,1,K27,Constitutively Low
cg01254505,BST2,684,0.05,0.07,1,K4,Constitutively Low
cg00935430,ZNF678,339500,0.04,0.04,1,K4,Constitutively Low
cg00718748,ZNF624,57547,0.04,0.04,1,K4,Constitutively Low
cg00462311,NFATC4,4776,0.12,0.12,1,K4,Constitutively Low
cg00381076,C18orf54,162681,0.03,0.03,1,K4,Constitutively Low
cg00296685,GTF2H4,2968,0.08,0.08,1,K4,Constitutively Low
cg27611665,FBXL12,54850,0.02,0.01,0.9916635412608,K4,Constitutively Low
cg27555776,OPTN,10133,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg27431247,CHKA,1119,0.06,0.06,0.9916635412608,K4,Constitutively Low
cg27144395,FOXN4,121643,0.05,0.05,0.9916635412608,K4+K27,Constitutively Low
cg26736450,OTX1,5013,0.03,0.04,0.9916635412608,K4+K27,Constitutively Low
cg26240353,LTA4H,4048,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg26228569,MED27,9442,0.06,0.06,0.9916635412608,K4,Constitutively Low
cg26112353,BMP2K,55589,0.08,0.07,0.9916635412608,NA,Constitutively Low
cg25824330,MRPS18A,55168,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg25616762,CLPTM1L,81037,0.04,0.04,0.9916635412608,NA,Constitutively Low
cg25138936,RPL23A,6147,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg24856732,SCO2,9997,0.11,0.12,0.9916635412608,K4,Constitutively Low
cg24801210,PCNP,57092,0.15,0.15,0.9916635412608,K4,Constitutively Low
cg24758027,PKIB,5570,0.04,0.03,0.9916635412608,K4,Constitutively Low
cg24517609,SSR3,6747,0.08,0.08,0.9916635412608,K4,Constitutively Low
cg24448231,ZNFX1,57169,0.03,0.06,0.9916635412608,NA,Constitutively Low
cg24306924,GPT2,84706,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg23993660,PINK1,65018,0.02,0.02,0.9916635412608,K4+K27,Constitutively Low
cg23968678,MBOAT7,79143,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg23905308,PER2,8864,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg23866755,CNP,1267,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg23738770,NFKB2,4791,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg23543604,TAF12,6883,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg23393291,LINS1,55180,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg23266266,DCUN1D4,23142,0.05,0.05,0.9916635412608,NA,Constitutively Low
cg22721186,ATAD2,29028,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg22459359,ZMYM6,9204,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg22289810,NF1,4763,0.08,0.11,0.9916635412608,K4,Constitutively Low
cg22088594,FAM48A,55578,0.18,0.19,0.9916635412608,K4,Constitutively Low
cg22004151,PPP2R5D,5528,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg21900416,SERTAD3,29946,0.02,0.02,0.9916635412608,NA,Constitutively Low
cg21666675,CHCHD4,131474,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg21639968,UBE2M,9040,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg21452766,CTH,1491,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg21371335,DNAJC7,7266,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg21329628,CD320,51293,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg20988728,PIK3IP1,113791,0.04,0.04,0.9916635412608,K4+K27,Constitutively Low
cg20948472,ZMAT2,153527,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg20850582,LRBA,987,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg20812929,DHRS4L2,317749,0.11,0.12,0.9916635412608,NA,Constitutively Low
cg20757526,DCXR,51181,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg20728496,NADSYN1,55191,0.06,0.06,0.9916635412608,NA,Constitutively Low
cg20492121,GLUL,2752,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg19742789,CCNJL,79616,0.06,0.07,0.9916635412608,K4,Constitutively Low
cg19615614,CDK2,1017,0.08,0.08,0.9916635412608,K4,Constitutively Low
cg18997990,SERF2,10169,0.08,0.08,0.9916635412608,K4,Constitutively Low
cg18963330,OAF,220323,0.03,0.03,0.9916635412608,K4+K27,Constitutively Low
cg18801292,SUPT16H,11198,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg18187335,CTTN,2017,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg17881637,MRPL40,64976,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg17587934,HNRNPAB,3182,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg17124509,C17orf57,124989,0.06,0.08,0.9916635412608,NA,Constitutively Low
cg16793150,MRPS27,23107,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg16749578,NR2F6,2063,0.09,0.10,0.9916635412608,NA,Constitutively Low
cg16405575,TSPAN9,10867,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg16218387,FAM8A1,51439,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg16199381,TSTD2,158427,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg15945417,LLGL1,3996,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg15801967,NHP2L1,4809,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg14871856,GTF2E2,2961,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg14733672,HMOX1,3162,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg14636377,RHEBL1,121268,0.03,0.03,0.9916635412608,K4+K27,Constitutively Low
cg14489884,MRFAP1L1,114932,0.03,0.02,0.9916635412608,K4,Constitutively Low
cg13887370,DNAJC14,85406,0.01,0.01,0.9916635412608,NA,Constitutively Low
cg13802364,RCOR2,283248,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg13766096,ING1,3621,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg12841020,PGF,5228,0.19,0.20,0.9916635412608,K4,Constitutively Low
cg12688215,KTI12,112970,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg11979382,MEPCE,56257,0.04,0.04,0.9916635412608,NA,Constitutively Low
cg11717557,AP4B1,10717,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg11603096,EIF3D,8664,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg11539173,GNB1L,54584,0.05,0.05,0.9916635412608,NA,Constitutively Low
cg11256279,C7orf23,79161,0.03,0.02,0.9916635412608,K4,Constitutively Low
cg11018904,SPEF1,25876,0.08,0.08,0.9916635412608,K4+K27,Constitutively Low
cg10850580,UBR4,23352,0.04,0.03,0.9916635412608,K4,Constitutively Low
cg10648908,ARFGAP3,26286,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg10643489,RQCD1,9125,0.19,0.19,0.9916635412608,K4,Constitutively Low
cg10525488,C4orf32,132720,0.13,0.16,0.9916635412608,K4+K27,Constitutively Low
cg10377451,RAB33B,83452,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg10316635,INADL,10207,0.07,0.08,0.9916635412608,K4,Constitutively Low
cg09890046,QPCTL,54814,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg09869042,CENPM,79019,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg09391966,GIT2,9815,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg08902132,ETF1,2107,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg08881067,GFM2,84340,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg08831594,TSPAN15,23555,0.04,0.05,0.9916635412608,K4+K27,Constitutively Low
cg08731300,FZD8,8325,0.05,0.07,0.9916635412608,K4,Constitutively Low
cg08633154,PCGF5,84333,0.01,0.01,0.9916635412608,K4+K27,Constitutively Low
cg08551088,C10orf119,79892,0.07,0.07,0.9916635412608,K4,Constitutively Low
cg08293367,YPEL1,29799,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg08063013,COX8A,1351,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg08039281,PSMA6,5687,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg07713361,APOL1,8542,0.09,0.10,0.9916635412608,NA,Constitutively Low
cg07707227,CDC20B,166979,0.02,0.02,0.9916635412608,NA,Constitutively Low
cg07535879,MTRF1L,54516,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg07477160,NDRG1,10397,0.01,0.01,0.9916635412608,K4+K27,Constitutively Low
cg07357256,MRPS26,64949,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg07223164,OSTC,58505,0.09,0.09,0.9916635412608,K4,Constitutively Low
cg07103819,DGAT1,8694,0.05,0.05,0.9916635412608,NA,Constitutively Low
cg06421707,PYGB,5834,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg06090630,TCEB2,6923,0.01,0.02,0.9916635412608,K4,Constitutively Low
cg05698069,PDLIM2,64236,0.06,0.08,0.9916635412608,NA,Constitutively Low
cg05501658,E2F4,1874,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg05475028,BOD1L,259282,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg05473871,ADAMTSL5,339366,0.09,0.10,0.9916635412608,None,Constitutively Low
cg04893087,PPARGC1A,10891,0.07,0.07,0.9916635412608,K4+K27,Constitutively Low
cg04856685,MAP4,4134,0.05,0.06,0.9916635412608,K4,Constitutively Low
cg04076481,KRI1,65095,0.13,0.13,0.9916635412608,K4,Constitutively Low
cg03822011,FANCF,2188,0.02,0.03,0.9916635412608,K4,Constitutively Low
cg03703325,HEMK1,51409,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg03332970,ESAM,90952,0.04,0.04,0.9916635412608,K4+K27,Constitutively Low
cg03217964,ZFP1,162239,0.02,0.03,0.9916635412608,K4,Constitutively Low
cg03212129,PDCD2L,84306,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg02755525,NETO2,81831,0.04,0.12,0.9916635412608,K4+K27,Constitutively Low
cg02628930,KLHL8,57563,0.01,0.01,0.9916635412608,K4,Constitutively Low
cg02597269,MON1B,22879,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg02147791,SAP18,10284,0.04,0.04,0.9916635412608,K4,Constitutively Low
cg01490535,FAM86C,55199,0.08,0.08,0.9916635412608,NA,Constitutively Low
cg01191395,SAT2,112483,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg00950418,SRPK2,6733,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg00940891,FGFRL1,53834,0.04,0.05,0.9916635412608,K4,Constitutively Low
cg00901493,YBX2,51087,0.05,0.05,0.9916635412608,K4,Constitutively Low
cg00676660,ADAMTS9,56999,0.03,0.03,0.9916635412608,K4+K27,Constitutively Low
cg00256166,KLHL25,64410,0.03,0.03,0.9916635412608,K4,Constitutively Low
cg00224234,RNMTL1,55178,0.02,0.02,0.9916635412608,K4,Constitutively Low
cg00056767,C13orf31,144811,0.05,0.06,0.9916635412608,K4,Constitutively Low
cg27648946,RHOBTB1,9886,0.06,0.07,0.981895213584516,K4,Constitutively Low
cg27573806,LSM2,57819,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg27546682,STK40,83931,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg27535305,SCP2,6342,0.11,0.12,0.981895213584516,K4+K27,Constitutively Low
cg27462371,ATXN7,6314,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg27140880,RPL37A,6168,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg27043582,RNF170,81790,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg26533949,DZIP1L,199221,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg26387998,HELZ,9931,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg25902460,STRBP,55342,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg25820693,SEMA6C,10500,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg25687894,ACLY,47,0.08,0.08,0.981895213584516,K4,Constitutively Low
cg25619607,IMPACT,55364,0.02,0.04,0.981895213584516,K4,Constitutively Low
cg25467603,WDR18,57418,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg25418831,VPS13A,23230,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg24794758,LENG1,79165,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg24719575,REST,5978,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg24408199,EIF2B5,8893,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg24220122,ZNF322A,79692,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg24181591,EIF5A,1984,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg23923462,PGAM1,5223,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg23610018,VGLL4,9686,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg23489497,GPN2,54707,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg23350087,MCOLN1,57192,0.02,0.01,0.981895213584516,K4,Constitutively Low
cg23333420,OBFC1,79991,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg23274123,C1orf96,126731,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg23273333,ESRRG,2104,0.13,0.14,0.981895213584516,K4+K27,Constitutively Low
cg23150219,C19orf26,255057,0.05,0.06,0.981895213584516,None,Constitutively Low
cg23076086,FYN,2534,0.05,0.06,0.981895213584516,K4,Constitutively Low
cg22956956,TFRC,7037,0.06,0.05,0.981895213584516,K4,Constitutively Low
cg22688260,DPH3,285381,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg22605342,RSL1D1,26156,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg22464186,TNFRSF21,27242,0.09,0.09,0.981895213584516,K4,Constitutively Low
cg22377998,ARVCF,421,0.03,0.04,0.981895213584516,NA,Constitutively Low
cg22007326,TMED2,10959,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg21698790,HRK,8739,0.04,0.04,0.981895213584516,K4+K27,Constitutively Low
cg21219744,GUF1,60558,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg21048501,MRPS24,64951,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg20648108,CTTNBP2NL,55917,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg20225275,ATP6V0E1,8992,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg19905754,ANKRD37,353322,0.02,0.01,0.981895213584516,K4,Constitutively Low
cg19837824,NTHL1,4913,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg19767249,DCPS,28960,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg19604470,CD81,975,0.04,0.05,0.981895213584516,K4,Constitutively Low
cg19478743,CXCL16,58191,0.04,0.05,0.981895213584516,K4+K27,Constitutively Low
cg19435409,HIST1H2AL,8332,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg19403346,MGC45800,90768,0.12,0.13,0.981895213584516,NA,Constitutively Low
cg19168631,DAAM1,23002,0.02,0.02,0.981895213584516,K4+K27,Constitutively Low
cg19017420,ARL2,402,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg18978324,RABGGTA,5875,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg18601293,RBM26,64062,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg18394496,TMEM179B,374395,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg18335243,PTGS2,5743,0.06,0.12,0.981895213584516,K4+K27,Constitutively Low
cg17983274,PPME1,51400,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg17808849,HERPUD1,9709,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg17765461,DAZAP1,26528,0.09,0.10,0.981895213584516,K4,Constitutively Low
cg17751867,GOLPH3,64083,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg17703658,DDIT3,1649,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg17647744,TMEM9B,56674,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg17616707,ATP5B,506,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg17417054,CLSPN,63967,0.10,0.11,0.981895213584516,K4,Constitutively Low
cg17061853,C12orf11,55726,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg16525761,RPL34,6164,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg16477324,ADCK4,79934,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg16474684,RNF4,6047,0.03,0.03,0.981895213584516,NA,Constitutively Low
